Population,Type,City,State/Province,Country,Latitude,Longitude,IP Address,Average Ping Time (ms),Location 
3990000,Major City,Los Angeles,California,USA,34.052235,-118.243683,64.64.240.94,68.875,"Los Angeles, California, USA"
3223000,International,Madrid,,Spain,40.4165,-3.7026,213.37.9.31,164.512,"Madrid, Spain"
2706000,Major City,Chicago,Illinois,USA,41.945,-87.7996,73.176.54.228,61.277,"Chicago, Arizona, USA"
144830,International,Porlamar,Nueva Esparta,Venezuela ,10.95,-63.85,190.202.22.106,101.228,"Porlamar, Venezuela "
1660000,Major City,Phoenix,Arizona,USA,33.5132,-112.083,68.3.74.199,103.42,"Phoenix, Arizona, USA"
433688,International,Cape Town,Western Cape,South Africa,-33.9167,18.4167,196.21.74.47,345.825,"Cape Town, Western Cape, South Africa"
1056000,International,Dakar,,Senegal,-14,14,196.50.9.83,155.676,"Dakar, Senegal"
883305,Major City,San Francisco,California,USA,37.7749,122.4194,23.236.162.99,126.735,"San Francisco, California, USA"
5230000,International,Sydney,New South Wales,Australia,33.8688,151.2093,193.119.78.160,246.595,"Sydney, Australia"
9776000,International,Seoul,,Korea,37.5781,126.9351,211.187.20.11,413.79,"Seoul, Korea"
8906000,International,Dhaka,,Bangladesh,23.7167,90.35,103.130.173.77,353.404,"Dhaka, Bangladesh"
4991000,International,St. Petersburg,,Russia,59.8944,30.2642,178.71.174.193,135.886,"St. Petersburg, Russia"
41176,International,Claypole,Buenos Aires,Argentina,-34.8,-58.3333,181.47.231.32,153.741,"Claypole, Buenos Aires, Argentina"
1336000,International,Calgary,Alberta,Canada,51.0483,-113.9633,184.71.60.102,81.759,"Calgary, Alberta, Canada"
5165,Rural,Hudson,Quebec,Canada,45.4583,-74.1473,184.162.131.2,44.065,"Hudson, Quebec, Canada"
470914,Major City,Miami,Florida,USA,25.7741,-80.1817,23.204.156.53,42.157,"Miami, Florida, USA"
8399000,Major City,New York,New York,USA,40.712776,-74.005974,156.146.55.244,6.752,"New York, New York, USA"
964254,Major City,Austin,Texas,USA,30.267153,-97.743057,136.49.238.121,43.677,"Austin, Texas, USA"
1345000,Major City,Dallas,Texas,USA,32.776665,-96.796989,198.96.95.134,58.701,"Dallas, Texas, USA"
692587,Major City,Nashville,Tennessee,USA,36.16634,-86.779068,71.203.221.194,58.241,"Nashville, Tennessee, USA"
1584000,Major City,Philadelphia,Pennsylvania,USA,39.952583,-75.165222,100.34.2.248,23.895,"Philadelphia, Pennsylvania, USA"
391006,Major City,New Orleans,Louisiana,USA,29.951759,-90.074623,70.171.113.241,63.627,"New Orleans, Louisiana, USA"
672662,Major City,Detroit,Michigan,USA,42.331429,-83.045753,108.88.14.196,59.702,"Detroit, Michigan, USA"
716492,Major City,Denver,Colorado,USA,39.738449,-104.984848,139.64.165.71,55.419,"Denver, Colorado, USA"
602495,Major City,Baltimore,Maryland,USA,39.29044,-76.612328,168.228.47.61,15.675,"Baltimore, Maryland, USA"
694583,Major City,Boston,Massachusetts,USA,42.360081,-71.058884,198.181.163.179,14.466,"Boston, Massachusetts, USA"
872498,Major City,Charlotte,North Carolina,USA,35.223789,-80.841141,173.227.253.190,55.32,"Charlotte, North Carolina, USA"
560218,Major City,Albuquerque ,New Mexico,USA,35.084251,-106.649239,75.161.144.111,97.052,"Albuquerque , New Mexico, USA"
592025,Major City,Milwaukee,Wisconsin,USA,43.041069,-87.909416,138.128.38.246,120.094,"Milwaukee, Wisconsin, USA"
744955,Major City,Seattle,Washington,USA,47.60323,-122.330276,71.197.179.78,137.402,"Seattle, Washington, USA"
200591,Major City,Salt Lake City,Utah,USA,40.75848,-111.888138,45.56.161.40,77.606,"Salt Lake City, Utah, USA"
2326000,Major City,Houston,Texas,USA,29.760799,-95.369507,144.168.241.30,41.858,"Houston, Texas, USA"
892533,Major City,Columbus,Ohio,USA,39.962761,-82.996292,184.58.108.143,90.882,"Columbus, Ohio, USA"
653115,Major City,Portland,Oregon,USA,45.516022,-122.681427,207.230.106.144,49.46,"Portland, Oregon, USA"
197881,Major City,Little Rock,Arkansas,USA,34.748741,-92.275101,199.103.3.202,37.031,"Little Rock, Arkansas, USA"
